Player,Pos,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MCid,KMid,Hierid
Kentavious Caldwell-Pope,SG,2.8,6.8,1.5,3.7,1.3,3,1.3,1.5,0.4,2.2,2.6,1.5,0.8,0.3,1.1,1.6,8.5,4,4,4
Facundo Campazzo,PG,1.5,4.1,1,2.8,0.5,1.2,0.8,0.9,0.3,1.2,1.5,2.8,1,0.2,1,2,4.7,4,4,4
Clint Capela,C,6.5,11,0,0,6.5,11,2,3.4,4.8,9.4,14.2,0.8,0.7,2.3,1.2,2.4,15,1,1,1
Jevon Carter,PG,1,2.8,0.6,1.9,0.4,0.9,0.1,0.1,0.2,1.1,1.3,1.2,0.4,0.2,0.2,1,2.7,4,4,4
Wendell Carter Jr.,C,4.3,8.1,0.3,0.8,4,7.3,2.7,3.6,2.3,5.6,7.9,2.1,0.6,0.8,1.5,2.8,11.5,1,1,1
Alex Caruso,PG,2,5,1,2.3,1.1,2.7,0.8,1.3,0.5,2.5,3,2.5,1.1,0.2,1.2,1.8,5.9,4,4,4
Gary Clark,SF,1.1,3.5,0.8,2.9,0.2,0.6,0.2,0.3,0.9,2.2,3.1,0.8,0.3,0.2,0.5,0.9,3.2,4,4,4
Brandon Clarke,PF,4.9,9.3,0.5,1.5,4.4,7.9,1.5,2.1,1.5,4,5.5,1.7,1.1,0.9,0.6,1.5,11.7,3,1,1
Jordan Clarkson,SG,6.2,14.8,3,8.6,3.2,6.1,1.7,1.7,0.8,3.2,3.9,2.2,0.9,0.2,1.7,1.5,17.2,3,3,3
John Collins,PF,7.1,13,1.3,3.4,5.8,9.6,2.7,3.3,2.1,5.7,7.8,1.4,0.5,1,1.2,3.2,18.2,1,1,1
Mike Conley,PG,5.7,12.6,2.8,6.7,3,6,2.2,2.6,0.8,2.7,3.4,5.5,1.4,0.1,1.9,2,16.5,3,3,3
Pat Connaughton,SG,2.4,5.5,1.4,3.7,1,1.8,0.5,0.7,1,3.9,4.9,1.4,0.7,0.4,0.4,1.5,6.8,4,4,4
Robert Covington,PF,3.2,7.7,2.1,5.5,1.1,2.2,0.7,0.9,0.8,6,6.8,1.7,1.6,1.3,1.1,2.7,9.3,3,3,1
Jae Crowder,PF,3.4,8.3,2.4,6.3,1,2,1,1.3,0.5,4.6,5,2.1,0.8,0.4,0.9,1.9,10.2,3,3,4
Seth Curry,SG,4.6,10,2.1,4.9,2.5,5.1,1.5,1.7,0.2,1.9,2.1,2.8,0.9,0.2,1.3,1.7,12.6,3,3,3
Stephen Curry,PG,9.8,20.4,4.7,11.5,5.1,8.9,5.4,5.9,0.6,4.9,5.5,6,1.3,0.1,3.2,1.8,29.7,2,2,2
