Player,Pos,FG%,3P%,2P%,eF%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MCid,KMid,Hierid
Kent Bazemore,SF,0.45,0.4,0.496,0.546,0.7,0.3,2.5,2.8,1.5,0.9,0.5,1.1,2.1,6.1,3,3,3
Bradley Beal,SG,0.487,0.346,0.544,0.537,0.902,1.1,3.8,4.9,4.8,1.2,0.4,3.3,2.4,31.2,2,2,2
Malik Beasley,SG,0.44,0.399,0.487,0.547,0.85,0.8,3.6,4.4,2.4,0.8,0.2,1.6,1.7,19.6,3,3,3
Davis Bertans,PF,0.402,0.395,0.457,0.578,0.865,0.4,2.5,2.9,0.9,0.6,0.2,0.6,2.4,11.3,3,3,3
Saddiq Bey,SF,0.404,0.381,0.455,0.535,0.876,0.5,3.4,3.9,1.3,0.6,0.1,0.7,1.7,10.8,3,3,3
Khem Birch,C,0.45,0.19,0.479,0.459,0.741,2.4,2.6,5.1,1.1,0.7,0.6,0.5,1.4,5.3,1,3,3
Bismack Biyombo,C,0.576,0,0.579,0.576,0.481,2,3.2,5.2,1.3,0.3,1.1,1,2.4,5.3,1,1,1
Eric Bledsoe,SG,0.416,0.365,0.467,0.507,0.697,0.4,3,3.4,3.8,0.7,0.3,1.6,1.7,12,3,3,3
Bojan Bogdanovic,SF,0.419,0.382,0.461,0.521,0.854,0.5,3.3,3.9,1.8,0.5,0.1,1.4,1.6,14.9,3,3,3
Devin Booker,SG,0.495,0.359,0.554,0.549,0.857,0.3,3.8,4.1,4.5,0.9,0.2,3.3,2.8,26.1,2,2,2
Chris Boucher,C,0.516,0.391,0.606,0.598,0.772,1.8,4.5,6.3,1,0.6,1.9,0.7,2.7,13.3,1,1,1
Mikal Bridges,SF,0.529,0.412,0.627,0.623,0.823,1.2,3.5,4.7,2.3,0.9,0.9,0.8,1.6,13.1,1,3,1
Miles Bridges,PF,0.5,0.386,0.594,0.587,0.882,1.3,4.5,5.7,2,0.7,0.7,1.6,2.1,10.1,3,3,1
Malcolm Brogdon,PG,0.458,0.403,0.492,0.534,0.872,0.8,3.9,4.8,5.9,1,0.2,2.1,1.9,21.2,2,2,2
Dillon Brooks,SF,0.412,0.342,0.453,0.476,0.826,0.8,2.1,2.9,2.3,1.2,0.4,1.9,3.4,16.3,2,3,3
Bruce Brown,PG,0.548,0.256,0.595,0.566,0.756,1.6,3.1,4.7,1.5,0.8,0.3,0.8,2.1,8.4,1,3,1
Jaylen Brown,SG,0.485,0.398,0.534,0.556,0.748,1.2,4.5,5.7,3.5,1.2,0.5,2.7,2.8,24.3,2,2,2
Sterling Brown,SG,0.44,0.419,0.479,0.575,0.806,0.8,3.7,4.5,1.4,0.8,0.2,0.8,2,8.2,3,3,3
Jalen Brunson,PG,0.541,0.404,0.612,0.61,0.793,0.4,3.2,3.5,3.3,0.5,0,1.3,1.7,13.1,3,3,1
Reggie Bullock,SF,0.427,0.401,0.482,0.564,0.882,0.2,3.1,3.4,1.4,0.7,0.2,0.7,2.2,9.7,3,3,3
Trey Burke,PG,0.447,0.373,0.519,0.539,0.85,0.1,0.8,0.9,1.4,0.5,0.1,0.5,1,6.6,3,3,3
Alec Burks,SG,0.419,0.413,0.425,0.52,0.857,0.5,4,4.5,2.2,0.7,0.3,1,2.1,12.6,3,3,3
Kentavious Caldwell-Pope,SG,0.417,0.403,0.434,0.528,0.847,0.4,2.2,2.6,1.5,0.8,0.3,1.1,1.6,8.5,3,3,3
Facundo Campazzo,PG,0.364,0.352,0.393,0.486,0.81,0.3,1.2,1.5,2.8,1,0.2,1,2,4.7,3,3,3
Clint Capela,C,0.592,0,0.592,0.592,0.587,4.8,9.4,14.2,0.8,0.7,2.3,1.2,2.4,15,1,1,1
Jevon Carter,PG,0.368,0.31,0.486,0.472,1,0.2,1.1,1.3,1.2,0.4,0.2,0.2,1,2.7,3,3,3
Wendell Carter Jr.,C,0.529,0.323,0.552,0.545,0.745,2.3,5.6,7.9,2.1,0.6,0.8,1.5,2.8,11.5,2,1,1
Alex Caruso,PG,0.414,0.415,0.413,0.51,0.642,0.5,2.5,3,2.5,1.1,0.2,1.2,1.8,5.9,3,3,3
Gary Clark,SF,0.305,0.287,0.391,0.424,0.8,0.9,2.2,3.1,0.8,0.3,0.2,0.5,0.9,3.2,3,3,3
Brandon Clarke,PF,0.524,0.317,0.562,0.548,0.69,1.5,4,5.5,1.7,1.1,0.9,0.6,1.5,11.7,2,3,1
Jordan Clarkson,SG,0.422,0.349,0.524,0.524,0.955,0.8,3.2,3.9,2.2,0.9,0.2,1.7,1.5,17.2,3,3,3
John Collins,PF,0.545,0.38,0.603,0.594,0.838,2.1,5.7,7.8,1.4,0.5,1,1.2,3.2,18.2,1,1,1
Mike Conley,PG,0.454,0.414,0.498,0.563,0.852,0.8,2.7,3.4,5.5,1.4,0.1,1.9,2,16.5,2,2,2
Pat Connaughton,SG,0.44,0.382,0.558,0.568,0.75,1,3.9,4.9,1.4,0.7,0.4,0.4,1.5,6.8,3,3,3
Robert Covington,PF,0.417,0.393,0.477,0.557,0.805,0.8,6,6.8,1.7,1.6,1.3,1.1,2.7,9.3,1,2,1
Jae Crowder,PF,0.404,0.38,0.479,0.549,0.817,0.5,4.6,5,2.1,0.8,0.4,0.9,1.9,10.2,3,3,3
Seth Curry,SG,0.455,0.416,0.493,0.558,0.894,0.2,1.9,2.1,2.8,0.9,0.2,1.3,1.7,12.6,3,3,3
Stephen Curry,PG,0.481,0.408,0.574,0.595,0.925,0.6,4.9,5.5,6,1.3,0.1,3.2,1.8,29.7,2,2,2
