Player,Pos,FG%,3P%,2P%,eF%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MCid,KMid,Hierid
Tomáš Satoranský,SG,0.52,0.418,0.576,0.594,0.922,0.6,2.1,2.7,4.9,0.8,0.2,1.7,1.6,8.2,3,3,3
Dennis Schröder,SG,0.431,0.336,0.465,0.475,0.837,0.5,3,3.5,5.2,1.2,0.2,2.8,2.7,15.2,2,2,2
Collin Sexton,SG,0.478,0.359,0.517,0.522,0.816,0.8,2.1,2.9,4.2,1.2,0.1,2.7,2.7,23.9,2,2,2
Landry Shamet,SG,0.399,0.389,0.429,0.544,0.844,0.2,1.6,1.8,1.1,0.5,0.1,0.7,1.3,8.2,3,3,3
Pascal Siakam,PF,0.45,0.286,0.51,0.488,0.836,1.8,5.5,7.3,4.6,1.1,0.6,2,3.2,20.6,2,2,2
Ben Simmons,PG,0.546,0.333,0.55,0.549,0.634,1.7,6.1,7.8,7.2,1.5,0.6,3.4,3.1,15.2,2,2,2
Anfernee Simons,SG,0.407,0.416,0.386,0.554,0.806,0.2,2.1,2.3,1.4,0.2,0.1,0.8,1.7,8,3,3,3
Tony Snell,SG,0.521,0.577,0.408,0.712,1,0.3,2,2.3,1.3,0.2,0.3,0.5,1.6,5.6,1,3,1
Isaiah Stewart,C,0.562,0.417,0.578,0.583,0.692,2.2,3.7,5.8,0.8,0.5,1,0.9,2.5,6.5,1,1,1
Edmond Sumner,SG,0.515,0.375,0.587,0.579,0.792,0.4,1.3,1.7,0.7,0.5,0.1,0.9,1.4,6.2,3,3,3
Jae'Sean Tate,SF,0.521,0.328,0.609,0.573,0.737,1.9,3.5,5.4,2,1.1,0.6,1.2,3.1,10.8,1,1,1
Jayson Tatum,SF,0.453,0.376,0.497,0.522,0.867,0.7,6.3,7,4.3,1.3,0.4,2.5,1.8,25.1,2,2,2
Jeff Teague,PG,0.423,0.467,0.404,0.493,0.844,0.3,1.4,1.6,2.2,0.7,0.2,1.1,1.2,6.8,3,3,3
Garrett Temple,SG,0.424,0.336,0.52,0.511,0.816,0.6,2.5,3.1,2,0.9,0.5,1,2.3,8.1,3,3,3
Daniel Theis,C,0.547,0.34,0.65,0.604,0.662,1.2,3.9,5.1,1.6,0.6,1,1,2.7,9.2,1,1,1
Tristan Thompson,PF,0.531,0,0.538,0.531,0.6,3.1,5.2,8.4,1,0.4,0.4,1,2.1,7.9,1,1,1
Matisse Thybulle,SG,0.402,0.308,0.554,0.497,0.571,0.5,1.4,1.8,1,1.5,1,0.4,2,3.7,1,3,3
Xavier Tillman Sr.,PF,0.528,0.279,0.597,0.558,0.714,1.2,3,4.2,1.3,0.8,0.6,0.7,2.2,6.3,3,3,1
Obi Toppin,PF,0.48,0.295,0.604,0.539,0.722,0.4,1.7,2.1,0.5,0.3,0.3,0.5,1,4.2,3,3,3
Gary Trent Jr.,SG,0.415,0.395,0.441,0.527,0.771,0.5,1.9,2.4,1.4,0.9,0.2,0.7,1.6,15.1,3,3,3
Myles Turner,C,0.482,0.338,0.613,0.563,0.787,1.3,5.1,6.4,1,0.9,3.5,1.4,3.5,12.7,1,1,1
Jonas Valanciunas,C,0.563,0.333,0.583,0.576,0.77,4.1,8.3,12.4,1.8,0.6,0.6,1.8,3,16.3,1,1,1
Denzel Valentine,SG,0.38,0.333,0.444,0.477,1,0.5,3.3,3.8,1.7,0.6,0,0.6,1.1,7.2,3,3,3
Jarred Vanderbilt,PF,0.601,0.25,0.61,0.604,0.581,1.5,3.7,5.2,1.3,0.9,0.7,1,1.9,5.2,1,1,1
Fred VanVleet,SG,0.393,0.371,0.419,0.494,0.885,0.6,3.6,4.2,6.1,1.7,0.8,2,2.4,19.8,2,2,2
Devin Vassell,SF,0.402,0.4,0.404,0.503,0.871,0.4,2.5,2.9,0.9,0.9,0.3,0.4,1.4,5.2,3,3,3
Nikola Vucevic,C,0.484,0.402,0.521,0.546,0.836,2,9.6,11.6,3.8,0.9,0.7,1.8,1.9,24.3,2,2,2
Dean Wade,PF,0.416,0.351,0.542,0.532,0.762,0.5,2.4,2.9,1,0.3,0.3,0.4,1.1,4.8,3,3,3
Lonnie Walker,SG,0.425,0.356,0.483,0.506,0.783,0.2,2.5,2.8,1.6,0.5,0.4,1,2,11.5,3,3,3
Brad Wanamaker,PG,0.373,0.225,0.451,0.412,0.892,0.3,1.4,1.7,2.6,0.7,0.1,1,1.5,5.1,3,3,3
P.J. Washington,PF,0.425,0.367,0.46,0.494,0.786,1.5,5,6.5,2.7,1,1.3,2.2,2.7,11.5,2,2,1
Russell Westbrook,PG,0.436,0.321,0.469,0.472,0.619,1.6,8.9,10.5,10.6,1.2,0.4,5,2.8,21.8,2,2,2
Coby White,PG,0.411,0.346,0.469,0.493,0.898,0.5,4,4.5,4.6,0.5,0.2,2.2,2.5,14.8,2,3,3
Andrew Wiggins,PF,0.471,0.392,0.516,0.543,0.7,1,3.8,4.8,2.3,0.9,1,1.9,2.1,18,2,3,1
Grant Williams,PF,0.437,0.389,0.494,0.542,0.528,0.9,2.1,3,1,0.5,0.4,0.8,2.6,4.5,3,3,3
Kenrich Williams,PF,0.541,0.429,0.586,0.602,0.565,1.3,2.9,4.2,2.1,0.7,0.2,1,2,7.5,3,3,1
Lou Williams,PG,0.423,0.395,0.433,0.475,0.858,0.4,1.8,2.1,3.4,0.9,0.1,1.6,1,12.3,2,3,3
Patrick Williams,PF,0.48,0.388,0.514,0.533,0.756,0.9,3.8,4.8,1.3,0.8,0.7,1.4,2,9.8,2,3,1
Robert Williams,C,0.722,0,0.726,0.722,0.656,2.6,4.3,6.9,1.7,0.9,1.8,1,2.1,8,1,1,1
Zion Williamson,PF,0.62,0.375,0.628,0.626,0.708,2.6,4.4,7,3.5,1,0.7,2.5,2.2,26.3,2,1,1
James Wiseman,C,0.509,0.324,0.53,0.526,0.643,1.5,4.5,5.9,0.7,0.3,1,1.6,3.2,11.5,2,1,1
Delon Wright,SG,0.459,0.346,0.511,0.514,0.806,1,3.4,4.3,4.6,1.5,0.5,1.3,1.2,10.1,2,3,2
Thaddeus Young,PF,0.589,0.24,0.61,0.595,0.608,2.5,4,6.4,4.4,1.3,0.6,2,2.5,12.5,2,1,1
Trae Young,PG,0.431,0.365,0.469,0.498,0.87,0.7,3.2,3.9,9.5,0.8,0.2,4.3,2,25.1,2,2,2
Ivica Zubac,C,0.64,0,0.647,0.64,0.824,2.7,4.6,7.3,1.1,0.4,0.9,1.1,2.6,8.7,1,1,1
